NPA,2011,2013,2015,2016,2020,2022,2023,2011 Raw,2013 Raw,2015 Raw,2016 Raw,2020 Raw,2022 Raw,2023 Raw
173,"35","23","22","8","22","16","24","133","91","88","35","93","68","105"
174,"8","4","9","12","6","5","6","52","22","58","74","39","60","84"
175,"4","1","6","3","6","4","4","28","10","44","20","42","30","29"
176,"6","1","1","1","2","5","5","69","13","14","15","28","58","63"
177,"6","2","2","1","1","6","6","41","17","19","7","10","56","57"
178,"1","0","5","2","3","2","4","15","2","53","30","57","55","121"
179,"4","1","5","4","5","2","3","27","7","35","25","38","15","26"
180,"38","18","25","20","8","12","35","175","85","125","102","44","67","188"
181,"1","1","3","1","2","4","4","15","10","35","19","25","51","45"
182,"66","15","30","19","17","19","21","177","40","81","50","46","51","56"
183,"11","10","6","5","3","5","15","38","34","20","18","11","17","52"
184,"21","5","22","5","6","15","13","181","32","153","32","38","107","88"
185,"2","0","4","0","0","2","2","26","6","54","5","5","23","23"
186,"46","28","26","14","8","17","30","382","228","212","114","64","145","251"
187,"1","0","1","0","0","4","6","3","1","3","1","2","16","24"
188,"6","1","1","1","2","4","3","42","7","7","4","14","30","31"
189,"0","0","1","0","0","0","0","0","0","4","0","0","2","0"
190,"42","24","22","16","27","14","29","160","93","84","63","99","55","112"
191,"2","3","2","1","1","5","6","22","27","18","10","8","45","61"
192,"17","5","4","8","6","5","9","141","49","34","80","70","66","144"
193,"2","2","4","3","5","2","2","13","9","22","17","33","15","17"
194,"2","0","1","--","--","0","1","21","2","10","0","0","1","9"
195,"1","1","1","1","1","0","0","11","6","9","9","11","10","3"
196,"28","11","19","7","9","14","18","199","80","135","52","73","131","181"
197,"11","7","6","5","5","7","13","112","67","57","47","48","74","133"
198,"3","3","3","3","8","2","5","23","22","28","22","40","9","25"
199,"8","2","10","3","4","12","10","96","25","126","35","56","157","135"
200,"6","4","2","3","2","2","4","13","9","5","8","7","17","30"
201,"2","0","2","1","1","1","2","21","5","27","10","8","16","22"
202,"19","13","19","20","6","10","28","138","90","136","143","40","74","197"
203,"0","5","4","3","3","6","5","3","34","25","19","21","48","43"
204,"1","0","3","0","3","3","3","5","3","16","1","20","19","23"
205,"1","0","0","1","5","1","1","4","0","1","2","16","4","4"
206,"0","1","2","0","1","0","0","1","3","9","0","3","1","1"
